user_name,user_post_url,user_content,user_timestamp,user_replying_to,user_image_alts,user_likes,user_replies,user_reposts,user_shares,brand_reply_url,brand_reply_content,brand_reply_timestamp,brand_replying_to,brand_reply_image_alts,brand_reply_likes,brand_reply_replies,brand_reply_reposts,brand_reply_shares
karus.life,https://www.threads.com/@karus.life/post/DXweNYokilU,哇黃金耶 哇哇哇,2026年4月30日 星期四 下午9:24,@dominospizza_tw,,,1,,,https://www.threads.com/@dominospizza_tw/post/DXweSABkdS0,呼叫老祖宗,2026年4月30日 星期四 下午9:24,,,1,1,,
d.uncann,https://www.threads.com/@d.uncann/post/DXPGbl6E0Iy,Lemme help you with that 翻譯,2026年4月17日 星期五 下午10:21,@dominospizza_tw,"Photo by Du Ncann on April 17, 2026. May be a Twitter screenshot of pizza, crossword puzzle and text that says 'Domino's dominospizza_tw 1m My boss just asked me what this is? … Long press the little airplane icon to copy the post link. Is there an English version already? 12 1 Detected English ህ 文A 十'.",2,1,,,https://www.threads.com/@dominospizza_tw/post/DXPKb3oke55,謝謝你讓長按小飛機可以複製貼文連結國際化,2026年4月17日 星期五 下午10:56,,,,,,
6exxeuydxyd,https://www.threads.com/@6exxeuydxyd/post/DXO8C-vk9w0,"鳳梨披薩到底是不是一種對義大利文化的犯罪？
238票 · 票選活動已結束",2026年4月17日 星期五 下午8:50,,,13,2,,1,https://www.threads.com/@dominospizza_tw/post/DXO8kkgEYh_,沒想到我的美味是罪惡的,2026年4月17日 星期五 下午8:55,,,6,1,,
momo3126lee,https://www.threads.com/@momo3126lee/post/DXOfLD1ANq7,各位觀眾 徐….若….熙….,2026年4月17日 星期五 下午4:38,,"Photo by 李摸摸 on April 17, 2026. May be an image of baseball, scoreboard, stadium and text.",5494,75,98,204,https://www.threads.com/@dominospizza_tw/post/DXO52s_kYNl,永遠的龍之子🐉🔥🔥🔥,2026年4月17日 星期五 下午8:31,,,17,1,,
xinzhexianxin,https://www.threads.com/@xinzhexianxin/post/DXHJ7RNkxvI,大家手機裡應該都有的軟體 🟥🟥⬛️⬛️ 🟥🟨🟨⬛️ 🟩🟩🟨🟦 🟩🟩🟦🟦,2026年4月14日 星期二 下午8:18,,,23000,199,327,219,https://www.threads.com/@dominospizza_tw/post/DXO5CtzEdMw,,2026年4月17日 星期五 下午8:24,,"Photo by 達美樂披薩 on April 17, 2026. May be a doodle of crossword puzzle and text.",16,,,
reach__03,https://www.threads.com/@reach__03/post/DXOMLCEkuoa,"泡麵日常
我就不信 只有我才會這樣吃 翻譯 1 / 2",2026年4月17日 星期五 下午1:53,,,1761,289,22,570,https://www.threads.com/@dominospizza_tw/post/DXO3uVjkYwx,以為你加了鳳梨進去,2026年4月17日 星期五 下午8:13,,,13,1,,
netflixtw,https://www.threads.com/@netflixtw/post/DXO2SOxj1J5,朋友找我拍最近很紅的懶人vlog，但假日只打算在家的我，影片畫面大概都只會長這樣：躺在沙發上追劇,2026年4月17日 星期五 下午8:00,,,54,1,1,6,https://www.threads.com/@dominospizza_tw/post/DXO3lfgEQXV,看成獵人vlog，以為有什麼劇場版，差點去平台找來看配披薩🍕,2026年4月17日 星期五 下午8:11,,,,,,
weichih_cw,https://www.threads.com/@weichih_cw/post/DXOlHMMDwk3,已讀亂回的最高境界是什麼 1 / 2,2026年4月17日 星期五 下午5:30,,,56000,2739,1098,3306,https://www.threads.com/@dominospizza_tw/post/DXO3cuzEViO,有bear來,2026年4月17日 星期五 下午8:10,,,1,,,
win.585888,https://www.threads.com/@win.585888/post/DXM77FTmF99,等等宵夜吃什麼？,2026年4月17日 星期五 上午2:11,@dominospizza_tw,,,1,,,https://www.threads.com/@dominospizza_tw/post/DXNnvHEE1Fx,那我先提早18小時跟你說晚安,2026年4月17日 星期五 上午8:34,,,,,,
pchome24h,https://www.threads.com/@pchome24h/post/DXMtQHpCcMP,達美樂打了沒,2026年4月17日 星期五 上午12:03,@dominospizza_tw,,,1,,,https://www.threads.com/@dominospizza_tw/post/DXMt9m6EYt-,打了。我認得你的聲音,2026年4月17日 星期五 上午12:09,,,1,,,
