user_name,user_post_url,user_content,user_timestamp,user_replying_to,user_image_alts,user_likes,user_replies,user_reposts,user_shares,brand_reply_url,brand_reply_content,brand_reply_timestamp,brand_replying_to,brand_reply_image_alts,brand_reply_likes,brand_reply_replies,brand_reply_reposts,brand_reply_shares
ryan7050630,https://www.threads.com/@ryan7050630/post/DVNAI8IGK1U,用心支持台灣棒球的達美樂,2026年2月26日 星期四 上午9:45,@dominospizza_tw,"Photo by 李明曄 on February 25, 2026. May be an image of card, playing cards, mouse pad and text. | Photo by 李明曄 on February 25, 2026. May be an image of playing cards, crossword puzzle, card and text.",30,1,,,https://www.threads.com/@dominospizza_tw/post/DVNFfG2EdJZ,你還留著～～😭,2026年2月26日 星期四 上午10:32,,,7,1,,
ronahope33,https://www.threads.com/@ronahope33/post/DVJqE1SE-4O,一邊吃達美樂一邊看經典賽！幫Team Taiwan中華隊加油！,2026年2月25日 星期三 上午2:34,@dominospizza_tw,,1,1,,,https://www.threads.com/@dominospizza_tw/post/DVNFbZzEUAZ,好 我等你🫶,2026年2月26日 星期四 上午10:31,,,,,,
ldd.tea,https://www.threads.com/@ldd.tea/post/DVM23YOEsFs,我不相信連假前一大早有小編在那海巡 如果有趕緊在底下說我要放假🤭🤭,2026年2月26日 星期四 上午8:24,,,169,219,6,,https://www.threads.com/@dominospizza_tw/post/DVNFRi_ES4o,想午餐吃什麼,2026年2月26日 星期四 上午10:30,,,4,1,,
fuxinggao_taiwan,https://www.threads.com/@fuxinggao_taiwan/post/DRMZVLXk0zo,半價！你成功引起我的注意了！章魚燒披薩😎,2025年11月18日 星期二 下午6:00,@dominospizza_tw,,1,1,,,https://www.threads.com/@dominospizza_tw/post/DRM7l6VkU_p,來～～～～ 💕,2025年11月18日 星期二 下午11:00,,,,,,
on.the.mood_quotes,https://www.threads.com/@on.the.mood_quotes/post/DRL2T7jEq8A,我愛達美樂🫶,2025年11月18日 星期二 下午12:54,@dominospizza_tw,,1,1,,,https://www.threads.com/@dominospizza_tw/post/DRMTHkwESYC,我也愛你,2025年11月18日 星期二 下午5:06,,,2,,,
rnn9063t,https://www.threads.com/@rnn9063t/post/DRL72uxif6R,辛苦了…,2025年11月18日 星期二 下午1:43,@dominospizza_tw,"Photo by 嘉南羊乳｜總公司 on November 17, 2025.",258,1,,2,https://www.threads.com/@dominospizza_tw/post/DRMTEYzETGa,是！,2025年11月18日 星期二 下午5:05,,,21,,,
c4.sweetthing,https://www.threads.com/@c4.sweetthing/post/DRMQUWoknMh,小編也會設計嗎🤣,2025年11月18日 星期二 下午4:41,@dominospizza_tw,,,1,,,https://www.threads.com/@dominospizza_tw/post/DRMTCpkkYok,我… 略懂,2025年11月18日 星期二 下午5:05,,,2,,,
jamesyen1984,https://www.threads.com/@jamesyen1984/post/DRMJhFnklWg,"達美樂行銷企劃有限公司？
咖認真欸 快去做披薩 不是做圖🤣🤣",2025年11月18日 星期二 下午3:42,@dominospizza_tw,,11,1,,,https://www.threads.com/@dominospizza_tw/post/DRMTA2cEYLL,我做完圖 就來洗手手做披薩🍕,2025年11月18日 星期二 下午5:05,,,11,,,
chenvok,https://www.threads.com/@chenvok/post/DRMGtWzEW0h,默默點開APP......,2025年11月18日 星期二 下午3:17,@dominospizza_tw,,1,1,,,https://www.threads.com/@dominospizza_tw/post/DRMS8rWkWr8,默默吃了大披薩 再吃了小披薩 翻譯,2025年11月18日 星期二 下午5:04,,,2,,,
wang.shenglun,https://www.threads.com/@wang.shenglun/post/DRMM9Ztj2TA,這樣對比下來我真的看不出哪裡有章魚欸…可能要拿放大鏡?,2025年11月18日 星期二 下午4:12,@dominospizza_tw,,,1,,,https://www.threads.com/@dominospizza_tw/post/DRMSxiCkaBa,歡迎訂訂看！😋 好吃喔,2025年11月18日 星期二 下午5:03,,,,,,
mummu___87,https://www.threads.com/@mummu___87/post/DRMG4JsD8D5,看來要考慮一下達美樂了,2025年11月18日 星期二 下午3:19,@dominospizza_tw,,17,1,,,https://www.threads.com/@dominospizza_tw/post/DRMMoDiEQGW,好啊！,2025年11月18日 星期二 下午4:09,,,4,,,
yuching330,https://www.threads.com/@yuching330/post/DRL-B0MEnV1,都不知道達美樂有章魚燒口味耶🥹😍,2025年11月18日 星期二 下午2:02,@dominospizza_tw,,6,1,,,https://www.threads.com/@dominospizza_tw/post/DRMMmc6EZdg,今天知道！？,2025年11月18日 星期二 下午4:09,,,7,,,
beelovelab,https://www.threads.com/@beelovelab/post/DRMHXOEk1fP,擴！,2025年11月18日 星期二 下午3:23,@dominospizza_tw,,1,1,,,https://www.threads.com/@dominospizza_tw/post/DRMMKpAERCU,好！,2025年11月18日 星期二 下午4:05,,,,,,
chaorong700,https://www.threads.com/@chaorong700/post/DRMLgfwEuFG,同德十街新店來了,2025年11月18日 星期二 下午3:59,@dominospizza_tw,,1,1,,,https://www.threads.com/@dominospizza_tw/post/DRMMJw0EWTy,訂單來了！愛你們,2025年11月18日 星期二 下午4:05,,,1,,,
